商品编码	商品名称	商品简称	品牌	品牌编码	分类	年份	季节	重量	生产方式	主题	厂家货号	供应商	外部编码	备注	规格编码	规格名称	自定义编码	长	宽	高	公司名称	市场价	实际售价	财务成本	采购价	销售价	经销价	箱规	自定义属性1	自定义属性2	自定义属性3	自定义属性4	自定义属性5	自定义属性6	自定义属性7	自定义属性8	自定义属性9	自定义属性10	自定义属性11	自定义属性12	自定义属性13	自定义属性14	自定义属性15	自定义属性16	自定义属性17	自定义属性18	自定义属性19	自定义属性20
ABL04001	爱比丽 sunny太阳灯 TP91	sunny灯粉色	爱比丽	ABL	美甲灯							东莞市爱比丽电器			ABL04001001	爱比丽 sunny太阳灯 TP91粉色	DJ026001								63.5				DJ026001	粉色																		
ABL04001	爱比丽 sunny太阳灯 TP91	sunny灯白色	爱比丽	ABL	美甲灯							东莞市爱比丽电器			ABL04001002	爱比丽 sunny太阳灯 TP91白色	DJ026002								63.5				DJ026002	白色																		
ABL04002	爱比丽 mini美甲灯 TP65	mini灯紫色	爱比丽	ABL	美甲灯							东莞市爱比丽电器			ABL04002001	爱比丽 mini美甲灯 TP65紫色	DJ027001								55				DJ027001	紫色																		
ABL04002	爱比丽 mini美甲灯 TP65	mini灯白色	爱比丽	ABL	美甲灯							东莞市爱比丽电器			ABL04002002	爱比丽 mini美甲灯 TP65白色	DJ027002								55				DJ027002	白色																		
ABL04002	爱比丽 mini美甲灯 TP65	mini灯红色	爱比丽	ABL	美甲灯							东莞市爱比丽电器			ABL04002003	爱比丽 mini美甲灯 TP65红色	DJ027003								55				DJ027003	红色																		
ABL04003	爱比丽 单指灯 TP51	单指灯	爱比丽	ABL	美甲灯							东莞市爱比丽电器			ABL04003000	爱比丽 单指灯 TP51	DJ028								10				DJ028																			
ABL04004	爱比丽 带垫片手枕	带垫手枕紫色	爱比丽	ABL	手枕							东莞市爱比丽电器			ABL04004001	爱比丽 带垫片手枕紫色	DJ029001								14				DJ029001	紫色																		
ABL04004	爱比丽 带垫片手枕	带垫手枕粉色	爱比丽	ABL	手枕							东莞市爱比丽电器			ABL04004002	爱比丽 带垫片手枕粉色	DJ029002								14				DJ029002	粉色																		
ABL04004	爱比丽 带垫片手枕	带垫手枕白色	爱比丽	ABL	手枕							东莞市爱比丽电器			ABL04004003	爱比丽 带垫片手枕白色	DJ029003								14				DJ029003	白色																		
4	TP809 爱比丽 吸尘器	吸尘器	爱比丽	ABL	美甲灯							东莞市爱比丽电器			ABL04005000	TP809 爱比丽 吸尘器	DJ032								49				DJ032																			
